Faktor A;Faktor B;Respon
0;Richfood;52,6
0;Richfood;54,2
0;Richfood;49,8
0;Richfood;46,5
3;Richfood;49,4
3;Richfood;49,2
3;Richfood;42,8
3;Richfood;53,2
7;Richfood;42,7
7;Richfood;48,8
7;Richfood;40,4
7;Richfood;47,6
0;Sealed-Sweet;56
0;Sealed-Sweet;48
0;Sealed-Sweet;49,6
0;Sealed-Sweet;48,4
3;Sealed-Sweet;48,8
3;Sealed-Sweet;44
3;Sealed-Sweet;44
3;Sealed-Sweet;42,4
7;Sealed-Sweet;49,2
7;Sealed-Sweet;44
7;Sealed-Sweet;42
7;Sealed-Sweet;43,2
0;Minute Maid;52,5
0;Minute Maid;52
0;Minute Maid;51,8
0;Minute Maid;53,6
3;Minute Maid;48
3;Minute Maid;47
3;Minute Maid;48,2
3;Minute Maid;49,6
7;Minute Maid;48,5
7;Minute Maid;43,3
7;Minute Maid;45,2
7;Minute Maid;47,6
